provider,model,type,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
openai,gpt-4.1,bode_magnitude,cutoff_hz,5,0.2,85.7119912,113.943745,0.3494619266884621,134.20791499999999,1.1362873554229735
openai,gpt-4.1,bode_magnitude,dc_gain_db,5,1.0,0.3249148000000001,0.4457270000000002,0.45443273987337374,0.4728332,1.1362873554229735
openai,gpt-4.1,fft_spectrum,dominant_frequency_hz,5,0.8,1.4831908000000014,1.094890999999997,0.06636920618347844,2.737055,0.9876752853393554
openai,gpt-4.1,iv_curve,resistance_ohm,1,0.0,23.013430999999997,23.013430999999997,0.1300292509766659,23.013430999999997,1.231456995010376
openai,gpt-4.1,iv_curve,turn_on_voltage_v_at_target_i,4,0.75,0.014415666666666641,0.012156999999999973,0.017857194517559443,0.021347799999999972,1.0776959657669067
openai,gpt-4.1,step_response,percent_overshoot,5,1.0,0.6797840000000002,0.1853549999999995,0.041950645573484255,2.01655,2.4180859088897706
openai,gpt-4.1,step_response,settling_time_s,5,0.6,0.2844756,0.27709399999999995,0.46615853218812386,0.43638499999999997,2.4180859088897706
openai,gpt-4.1,step_response,steady_state,5,1.0,0.0021789999999999978,0.0,0.002203001703560287,0.008715999999999988,2.4180859088897706
openai,gpt-4.1,time_waveform,frequency_hz,5,0.0,85.92,10.0,0.49960000000000004,199.8,1.184083604812622
openai,gpt-4.1,time_waveform,vpp_v,5,1.0,0.022466000000000007,0.015826000000000118,0.007693574612039509,0.061424599999999774,1.184083604812622
openai,gpt-4.1,transfer_characteristic,saturation_v,5,1.0,0.1527355999999999,0.13571199999999983,0.0479660531400752,0.28091499999999986,1.1062618732452392
openai,gpt-4.1,transfer_characteristic,small_signal_gain,5,0.6,0.29313320000000004,0.32674199999999987,0.11143981047956872,0.4767698000000001,1.1062618732452392
