provider,model,id,type,field,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,is_null,latency_s,error,tags
openai,gpt-4.1,step_response_000,step_response,percent_overshoot,17.0,16.303353482158048,0.6966465178419519,0.04273025906015858,3.0,0.08,True,False,3.924304246902466,,
openai,gpt-4.1,step_response_000,step_response,settling_time_s,0.7,0.5,0.19999999999999996,0.3999999999999999,0.4,0.2,True,False,3.924304246902466,,
openai,gpt-4.1,step_response_000,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.05,True,False,3.924304246902466,,
openai,gpt-4.1,step_response_000,step_response,cp_peak_time_s,0.22,0.22672492052927723,0.0067249205292772285,0.029661144057645982,0.2,0.15,True,False,3.924304246902466,,
openai,gpt-4.1,step_response_000,step_response,cp_peak_value,1.17,1.1630335348215806,0.006966465178419368,0.005989909121139903,0.08,0.08,True,False,3.924304246902466,,
openai,gpt-4.1,step_response_000,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.05,0.05,True,False,3.924304246902466,,
openai,gpt-4.1,step_response_000,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.05,0.05,True,False,3.924304246902466,,
openai,gpt-4.1,step_response_000,step_response,__consistency__,3.0,3.0,0.0,,0.0,0.0,True,False,3.924304246902466,,
openai,gpt-4.1,step_response_001,step_response,percent_overshoot,17.0,16.303353482158048,0.6966465178419519,0.04273025906015858,3.0,0.08,True,False,3.6135098934173584,,
openai,gpt-4.1,step_response_001,step_response,settling_time_s,1.0,0.6666666666666666,0.33333333333333337,0.5000000000000001,0.4,0.2,True,False,3.6135098934173584,,
openai,gpt-4.1,step_response_001,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.05,True,False,3.6135098934173584,,
openai,gpt-4.1,step_response_001,step_response,cp_peak_time_s,0.3,0.3022998940390363,0.0022998940390362987,0.007607988240774279,0.2,0.15,True,False,3.6135098934173584,,
openai,gpt-4.1,step_response_001,step_response,cp_peak_value,1.17,1.1630335348215806,0.006966465178419368,0.005989909121139903,0.08,0.08,True,False,3.6135098934173584,,
openai,gpt-4.1,step_response_001,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.05,0.05,True,False,3.6135098934173584,,
openai,gpt-4.1,step_response_001,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.05,0.05,True,False,3.6135098934173584,,
openai,gpt-4.1,step_response_001,step_response,__consistency__,3.0,3.0,0.0,,0.0,0.0,True,False,3.6135098934173584,,
openai,gpt-4.1,step_response_002,step_response,percent_overshoot,25.0,25.38267219801087,0.3826721980108694,0.01507611944974248,3.0,0.08,True,False,2.629047155380249,,
openai,gpt-4.1,step_response_002,step_response,settling_time_s,4.0,2.5,1.5,0.6,0.4,0.2,False,False,2.629047155380249,,
openai,gpt-4.1,step_response_002,step_response,steady_state,1.0,1.0,0.0,0.0,0.05,0.05,True,False,2.629047155380249,,
openai,gpt-4.1,step_response_002,step_response,cp_peak_time_s,0.8,0.8569396510590719,0.05693965105907184,0.06644534535040063,0.2,0.15,True,False,2.629047155380249,,
openai,gpt-4.1,step_response_002,step_response,cp_peak_value,1.25,1.2538267219801087,0.003826721980108694,0.003052034155138546,0.08,0.08,True,False,2.629047155380249,,
openai,gpt-4.1,step_response_002,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.05,0.05,True,False,2.629047155380249,,
openai,gpt-4.1,step_response_002,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.05,0.05,True,False,2.629047155380249,,
openai,gpt-4.1,step_response_002,step_response,__consistency__,3.0,3.0,0.0,,0.0,0.0,True,False,2.629047155380249,,
openai,gpt-4.1,step_response_003,step_response,percent_overshoot,17.0,16.303353482158048,0.6966465178419519,0.04273025906015858,3.0,0.08,True,False,4.488281726837158,,
openai,gpt-4.1,step_response_003,step_response,settling_time_s,1.3,0.8,0.5,0.625,0.4,0.2,False,False,4.488281726837158,,
