type,field,n,mean,std,min,max
bandpass_response,bandwidth_hz,15,328.31427960486377,346.0639728362152,9.640989457105803,1317.244714288446
bandpass_response,cp_f1_3db_hz,15,1298.1406087554394,842.4004503095204,101.87278826068223,2976.364829280803
bandpass_response,cp_f2_3db_hz,15,1626.4548883603031,1056.6363698718708,120.530827312003,3422.2637333947223
bandpass_response,cp_q_factor,15,6.395512626008209,3.382269359956342,1.6412800413669841,12.962537515473446
bandpass_response,resonance_hz,15,1448.963465224155,930.5371288624199,115.34240032289027,3191.536528476412
bode_magnitude,cp_mag_at_fc_db,15,5.879714064999414,5.714195823917908,-4.770412385504863,14.122651860805334
bode_magnitude,cp_slope_db_per_decade,15,-20.0,0.0,-20.0,-20.0
bode_magnitude,cutoff_hz,15,617.8732879700898,326.85182312928316,111.75126567418388,1280.9193590116167
bode_magnitude,dc_gain_db,15,8.890014021639224,5.714195823917908,-1.7601124288650503,17.132951817445147
bode_phase,cp_phase_deg_at_fc,15,-45.0,0.0,-45.0,-45.0
bode_phase,cutoff_hz,15,601.6963105720482,368.5219265493673,43.07110550633728,1471.5051629691013
bode_phase,phase_deg_at_10fc,15,-84.28940686250036,0.0,-84.28940686250036,-84.28940686250036
fft_spectrum,cp_peak_ratio,15,2.5462643916733727,1.2229651105324049,1.1643495409426667,5.2895750859564865
fft_spectrum,dominant_frequency_hz,15,589.9373632041685,360.3891212787359,35.60002708782826,1487.090946606909
fft_spectrum,secondary_frequency_hz,15,509.8145339312471,380.18642268956387,90.81892580881114,1235.8662018432367
iv_curve,cp_Is,5,1.5553680045610835e-10,8.644006040721553e-11,1.8365630260543363e-11,2.4941452976851504e-10
iv_curve,cp_Rs,5,4.130382944605067,2.053853833677342,2.0771501051852286,7.494835109199108
iv_curve,cp_nVt,5,0.02488668769688354,0.0013983835722674368,0.022674323754450124,0.02603493182957477
iv_curve,cp_slope_ohm,10,1006.5065175848113,954.5277133176735,131.90758888240646,3193.266020774136
iv_curve,resistance_ohm,10,1006.5065175848113,954.5277133176735,131.90758888240646,3193.266020774136
iv_curve,target_current_a,5,0.025940319514363076,0.008913600095609441,0.011726083545172085,0.03644752025278521
iv_curve,turn_on_voltage_v_at_target_i,5,0.5907772642653215,0.09630426212771108,0.4903923625246377,0.7307004971546648
spectrogram,cp_duration_s,15,2.516574490506086,0.41091149684324074,1.8540647185886803,3.2855624195751756
spectrogram,f1_hz,15,276.4085647741165,102.44378340111653,106.55016638683051,522.4505473076131
spectrogram,f2_hz,15,804.3625747724062,188.65372899042495,393.82222763936824,1092.8291979078292
spectrogram,switch_time_s,15,1.39980758836704,0.480161168670994,0.7943057942544447,2.211074823508856
step_response,cp_band_lower,15,1.764,1.0606790277930453,0.98,3.92
step_response,cp_band_upper,15,1.8359999999999999,1.1039720493356189,1.02,4.08
step_response,cp_peak_time_s,15,0.8198638736563378,0.4916920217030926,0.3181312569521691,2.0
step_response,cp_peak_value,15,2.060670118973261,1.128768836859106,1.0004749676490747,4.0790934597225865
step_response,percent_overshoot,15,16.923399793539986,17.54017867233937,0.04749676490747312,57.942150586317375
step_response,settling_time_s,15,1.40183525275604,0.7765456219081086,0.5494994438264739,3.6349946881179154
step_response,steady_state,15,1.8,1.082325538564332,1.0,4.0
time_waveform,cp_duty,15,0.50117384157676,0.11034791370937162,0.21872229071089005,0.7184573739054116
time_waveform,cp_period_s,15,0.04747821992798614,0.07802172497725335,0.00868241470253484,0.24410538915184724
time_waveform,cp_vmax_v,15,2.9509628516120627,1.0978313211008042,1.4380046268240174,4.788154101300096
time_waveform,cp_vmin_v,15,-2.9509628516120627,1.0978313211008042,-4.788154101300096,-1.4380046268240174
time_waveform,frequency_hz,15,59.315236952722486,35.09193128241333,4.096591244767414,115.17533246920915
time_waveform,vpp_v,15,5.9019257032241255,2.1956626422016083,2.876009253648035,9.576308202600192
transfer_characteristic,cp_vin_at_saturation,15,1.1793081154161582,0.7822641960859041,0.1671017925621751,3.40342008677561
transfer_characteristic,saturation_v,15,3.4854276501246257,1.1679159290858918,1.2954201226350617,5.784051851890119
transfer_characteristic,small_signal_gain,15,3.9322863182351697,2.13249986281496,0.9091087961052584,8.415158597871589
