provider,model,id,type,field,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error,tags
openai,gpt-4.1,step_response_000,step_response,percent_overshoot,3.0,3.4085500825128845,0.4085500825128845,0.11986037248180588,2.0,0.05,True,2.738424062728882,,
openai,gpt-4.1,step_response_000,step_response,settling_time_s,2.0,1.7824827081481993,0.2175172918518007,0.12203052004794868,0.2,0.1,False,2.738424062728882,,
openai,gpt-4.1,step_response_000,step_response,steady_state,1.0,1.0,0.0,0.0,0.03,0.02,True,2.738424062728882,,
openai,gpt-4.1,step_response_000,step_response,cp_peak_value,1.03,1.0340855008251288,0.004085500825128818,0.00395083464749179,0.05,0.03,True,2.738424062728882,,
openai,gpt-4.1,step_response_000,step_response,cp_peak_time_s,1.4,1.4017868979642296,0.0017868979642297056,0.0012747286815312374,0.12,0.15,True,2.738424062728882,,
openai,gpt-4.1,step_response_000,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.03,0.02,True,2.738424062728882,,
openai,gpt-4.1,step_response_000,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.03,0.02,True,2.738424062728882,,
openai,gpt-4.1,step_response_001,step_response,percent_overshoot,4.0,3.6018743803024833,0.3981256196975167,0.11053289972430475,2.0,0.05,True,2.2993080615997314,,
openai,gpt-4.1,step_response_001,step_response,settling_time_s,1.0,0.725250278086763,0.274749721913237,0.37883435582822095,0.2,0.1,False,2.2993080615997314,,
openai,gpt-4.1,step_response_001,step_response,steady_state,1.0,1.0,0.0,0.0,0.03,0.02,True,2.2993080615997314,,
openai,gpt-4.1,step_response_001,step_response,cp_peak_value,1.04,1.0360187438030248,0.0039812561969752025,0.003842841860525399,0.05,0.03,True,2.2993080615997314,,
openai,gpt-4.1,step_response_001,step_response,cp_peak_time_s,0.55,0.5628476084538376,0.012847608453837589,0.022826086956521722,0.12,0.15,True,2.2993080615997314,,
openai,gpt-4.1,step_response_001,step_response,cp_band_upper,1.02,1.02,0.0,0.0,0.03,0.02,True,2.2993080615997314,,
openai,gpt-4.1,step_response_001,step_response,cp_band_lower,0.98,0.98,0.0,0.0,0.03,0.02,True,2.2993080615997314,,
openai,gpt-4.1,step_response_002,step_response,percent_overshoot,20.0,21.62150755990474,1.6215075599047388,0.0749951202714323,2.0,0.05,True,1.8794119358062744,,
